cms_prescription_counts,provider_variables,npi
"{'DOXAZOSIN MESYLATE': 26, 'MIDODRINE HCL': 12, 'MEGESTROL ACETATE': 11, 'BENAZEPRIL HCL': 11, 'METOLAZONE': 73, 'NOVOLOG': 12, 'DIAZEPAM': 24, 'HYDRALAZINE HCL': 50, 'SENSIPAR': 94, 'LABETALOL HCL': 28, 'PREDNISONE': 40, 'CALCITRIOL': 79, 'HYDROCODONE-ACETAMINOPHEN': 64, 'HYDROCHLOROTHIAZIDE': 59, 'LOSARTAN-HYDROCHLOROTHIAZIDE': 14, 'FENOFIBRATE': 14, 'MINOXIDIL': 14, 'MELOXICAM': 29, 'ATENOLOL': 62, 'CARISOPRODOL': 40, 'GABAPENTIN': 35, 'OMEPRAZOLE': 35, 'KLOR-CON M10': 20, 'LANTUS': 20, 'AMLODIPINE BESYLATE': 175, 'CARVEDILOL': 36, 'LOSARTAN POTASSIUM': 41, 'IRBESARTAN': 11, 'NIFEDICAL XL': 32, 'NIFEDIPINE ER': 51, 'LEVOTHYROXINE SODIUM': 12, 'POTASSIUM CHLORIDE': 30, 'FUROSEMIDE': 162, 'GLYBURIDE': 16, 'CLONIDINE HCL': 43, 'TEMAZEPAM': 41, 'SPIRONOLACTONE': 50, 'LOVASTATIN': 11, 'LISINOPRIL': 44, 'PANTOPRAZOLE SODIUM': 13, 'CALCIUM ACETATE': 85, 'NEXIUM': 44, 'ZOLPIDEM TARTRATE': 41, 'DIOVAN': 20, 'OXYCODONE HCL': 51, 'METOPROLOL SUCCINATE': 104, 'RANITIDINE HCL': 21, 'ATORVASTATIN CALCIUM': 19, 'TAMSULOSIN HCL': 14, 'OXYBUTYNIN CHLORIDE': 11, 'LISINOPRIL-HYDROCHLOROTHIAZIDE': 19, 'METOPROLOL TARTRATE': 93, 'AMLODIPINE BESYLATE-BENAZEPRIL': 12, 'BUMETANIDE': 53, 'BYSTOLIC': 14, 'ISOSORBIDE MONONITRATE ER': 13, 'ALLOPURINOL': 86, 'CLOPIDOGREL': 22, 'RENVELA': 117, 'ABILIFY': 11, 'SERTRALINE HCL': 14, 'CIPROFLOXACIN HCL': 19, 'SIMVASTATIN': 14, 'PRAVASTATIN SODIUM': 13, 'ATENOLOL-CHLORTHALIDONE': 53, 'ALPRAZOLAM': 45, 'AZITHROMYCIN': 18, 'TRAMADOL HCL': 11}","{'settlement_type': 'non-urban', 'generic_rx_count': 2287, 'specialty': 'Nephrology', 'years_practicing': 7, 'gender': 'M', 'region': 'South', 'brand_name_rx_count': 384}",1295763035
"{'CEPHALEXIN': 23, 'AMOXICILLIN': 52, 'HYDROCODONE-ACETAMINOPHEN': 28}","{'settlement_type': 'non-urban', 'generic_rx_count': 103, 'specialty': 'General Practice', 'years_practicing': 7, 'gender': 'M', 'region': 'South', 'brand_name_rx_count': 0}",1992715205
"{'CEPHALEXIN': 28, 'AMOXICILLIN': 73, 'CLINDAMYCIN HCL': 11}","{'settlement_type': 'non-urban', 'generic_rx_count': 112, 'specialty': 'General Practice', 'years_practicing': 7, 'gender': 'M', 'region': 'Midwest', 'brand_name_rx_count': 0}",1578587630
{'AMOXICILLIN': 63},"{'settlement_type': 'non-urban', 'generic_rx_count': 63, 'specialty': 'General Practice', 'years_practicing': 7, 'gender': 'M', 'region': 'South', 'brand_name_rx_count': 0}",1932278405
"{'PIOGLITAZONE HCL': 24, 'BENAZEPRIL HCL': 29, 'DIAZEPAM': 26, 'HYDRALAZINE HCL': 12, 'SENSIPAR': 90, 'WARFARIN SODIUM': 14, 'ESCITALOPRAM OXALATE': 20, 'HYDROCODONE-ACETAMINOPHEN': 42, 'NOVOLIN N': 11, 'METFORMIN HCL': 22, 'FOSRENOL': 14, 'GLIPIZIDE': 13, 'OMEPRAZOLE': 43, 'METOPROLOL TARTRATE': 48, 'QUETIAPINE FUMARATE': 12, 'AMLODIPINE BESYLATE': 79, 'CHLORTHALIDONE': 17, 'SIMVASTATIN': 25, 'LOSARTAN POTASSIUM': 21, 'LABETALOL HCL': 13, 'NIFEDIPINE ER': 19, 'PRANDIN': 19, 'PANTOPRAZOLE SODIUM': 24, 'SYNTHROID': 27, 'ENALAPRIL MALEATE': 17, 'NORTRIPTYLINE HCL': 11, 'CLONIDINE HCL': 54, 'LISINOPRIL': 34, 'LEVOTHYROXINE SODIUM': 31, 'INDERAL LA': 11, 'NEXIUM': 14, 'AMOXICILLIN': 12, 'ACTONEL': 16, 'METHYLPHENIDATE HCL': 12, 'ANDROGEL': 13, 'RANITIDINE HCL': 31, 'ATORVASTATIN CALCIUM': 21, 'BUPROPION HCL': 13, 'DIPHENOXYLATE-ATROPINE': 14, 'CRESTOR': 18, 'ZOLPIDEM TARTRATE': 35, 'ALLOPURINOL': 19, 'LORAZEPAM': 40, 'CLOPIDOGREL': 28, 'RENVELA': 83, 'DONEPEZIL HCL': 11, 'GABAPENTIN': 11, 'ESTRADIOL': 37, 'ATENOLOL': 48, 'PRAVASTATIN SODIUM': 14, 'HYDROXYZINE HCL': 13, 'FLUTICASONE PROPIONATE': 11, 'CALCITONIN-SALMON': 15}","{'settlement_type': 'non-urban', 'generic_rx_count': 1035, 'specialty': 'Nephrology', 'years_practicing': 6, 'gender': 'M', 'region': 'West', 'brand_name_rx_count': 316}",1437366804
"{'AMOXICILLIN': 40, 'HYDROCODONE-ACETAMINOPHEN': 25, 'OXYCODONE-ACETAMINOPHEN': 25, 'CLINDAMYCIN HCL': 11, 'PENICILLIN V POTASSIUM': 42}","{'settlement_type': 'urban', 'generic_rx_count': 143, 'specialty': 'General Practice', 'years_practicing': 7, 'gender': 'M', 'region': 'South', 'brand_name_rx_count': 0}",1831265941
"{'AMOXICILLIN': 18, 'CLINDAMYCIN HCL': 11, 'IBUPROFEN': 27}","{'settlement_type': 'urban', 'generic_rx_count': 56, 'specialty': 'General Practice', 'years_practicing': 4, 'gender': 'M', 'region': 'South', 'brand_name_rx_count': 0}",1477882728
{'CEPHALEXIN': 17},"{'settlement_type': 'urban', 'generic_rx_count': 17, 'specialty': 'Endodontics', 'years_practicing': 5, 'gender': 'M', 'region': 'Midwest', 'brand_name_rx_count': 0}",1992954457
"{'CARAFATE': 16, 'CARBIDOPA-LEVODOPA': 29, 'PREVACID': 14, 'SIMVASTATIN': 27, 'FAMOTIDINE': 12, 'NOVOLOG': 25, 'MORPHINE SULFATE': 13, 'LEVETIRACETAM': 23, 'WARFARIN SODIUM': 88, 'ESCITALOPRAM OXALATE': 67, 'HYDROCODONE-ACETAMINOPHEN': 54, 'HYDROCHLOROTHIAZIDE': 33, 'PREDNISONE': 61, 'ERYTHROMYCIN': 13, 'LATANOPROST': 20, 'METFORMIN HCL': 28, 'LIDOCAINE': 12, 'DIVALPROEX SODIUM': 40, 'CLONAZEPAM': 31, 'VOLTAREN': 17, 'GLIPIZIDE': 15, 'OMEPRAZOLE': 201, 'METOPROLOL TARTRATE': 86, 'QUETIAPINE FUMARATE': 39, 'AMLODIPINE BESYLATE': 69, 'ENALAPRIL MALEATE': 25, 'ENULOSE': 60, 'BUDESONIDE': 18, 'FENTANYL': 55, 'LANTUS': 21, 'DILTIAZEM 24HR CD': 15, 'LEVOTHYROXINE SODIUM': 84, 'POTASSIUM CHLORIDE': 33, 'ALBUTEROL SULFATE': 16, 'RANEXA': 20, 'METOPROLOL SUCCINATE': 48, 'POLYETHYLENE GLYCOL 3350': 90, 'DONEPEZIL HCL': 69, 'LISINOPRIL': 56, 'PROTONIX': 16, 'CEPHALEXIN': 17, 'TRIAMCINOLONE ACETONIDE': 15, 'ATORVASTATIN CALCIUM': 68, 'XARELTO': 23, 'CIPROFLOXACIN HCL': 14, 'OXYCODONE HCL': 11, 'ENTACAPONE': 16, 'TAMSULOSIN HCL': 41, 'TRAVATAN Z': 11, 'SULFAMETHOXAZOLE-TRIMETHOPRIM': 18, 'CITALOPRAM HBR': 18, 'TRAZODONE HCL': 65, 'NYSTATIN': 20, 'GABAPENTIN': 57, 'LEVEMIR': 20, 'IBUPROFEN': 17, 'LEVOFLOXACIN': 18, 'ISOSORBIDE MONONITRATE ER': 27, 'LIDODERM': 38, 'FUROSEMIDE': 216, 'LORAZEPAM': 53, 'LOSARTAN POTASSIUM': 44, 'SPIRONOLACTONE': 29, 'RISPERIDONE': 15, 'AMOX TR-POTASSIUM CLAVULANATE': 15, 'SPIRIVA': 15, 'IPRATROPIUM-ALBUTEROL': 21, 'SERTRALINE HCL': 76, 'DIGOX': 40, 'ADVAIR DISKUS': 23, 'PRAVASTATIN SODIUM': 13, 'PROPRANOLOL HCL': 15, 'CLOPIDOGREL': 18, 'AZITHROMYCIN': 31, 'FLUTICASONE PROPIONATE': 14, 'MONTELUKAST SODIUM': 15}","{'settlement_type': 'urban', 'generic_rx_count': 2452, 'specialty': 'Gastroenterology', 'years_practicing': 5, 'gender': 'M', 'region': 'Northeast', 'brand_name_rx_count': 374}",1316196462
{'AMOXICILLIN': 27},"{'settlement_type': 'non-urban', 'generic_rx_count': 27, 'specialty': 'General Practice', 'years_practicing': 7, 'gender': 'M', 'region': 'South', 'brand_name_rx_count': 0}",1073520300
"{'CYMBALTA': 22, 'RISPERIDONE': 11, 'ZOLPIDEM TARTRATE': 16, 'BUPROPION HCL SR': 16, 'CLONAZEPAM': 11}","{'settlement_type': 'urban', 'generic_rx_count': 54, 'specialty': 'Psychiatry', 'years_practicing': 6, 'gender': 'M', 'region': 'West', 'brand_name_rx_count': 22}",1992844708
"{'AMOXICILLIN': 19, 'HYDROCODONE BIT-IBUPROFEN': 14, 'CHLORHEXIDINE GLUCONATE': 33}","{'settlement_type': 'non-urban', 'generic_rx_count': 66, 'specialty': 'General Practice', 'years_practicing': 6, 'gender': 'M', 'region': 'South', 'brand_name_rx_count': 0}",1669510038
"{'GABAPENTIN': 24, 'ALLOPURINOL': 14, 'HUMIRA': 13, 'SULFAZINE': 11, 'METHOTREXATE': 31, 'HYDROXYCHLOROQUINE SULFATE': 34, 'PREDNISONE': 57, 'AZATHIOPRINE': 20}","{'settlement_type': 'non-urban', 'generic_rx_count': 180, 'specialty': 'Rheumatology', 'years_practicing': 1, 'gender': 'F', 'region': 'Northeast', 'brand_name_rx_count': 24}",1033483755
"{'AMOXICILLIN': 13, 'IBUPROFEN': 19}","{'settlement_type': 'non-urban', 'generic_rx_count': 32, 'specialty': 'General Practice', 'years_practicing': 8, 'gender': 'M', 'region': 'Midwest', 'brand_name_rx_count': 0}",1376533299
"{'CARAFATE': 19, 'OMEPRAZOLE': 133, 'HUMIRA': 16, 'NEXIUM': 12, 'SUPREP': 47, 'SUCRALFATE': 74, 'ASACOL': 12, 'RANITIDINE HCL': 17, 'COLESTIPOL HCL': 13, 'DELZICOL': 15, 'PANTOPRAZOLE SODIUM': 15, 'LACTULOSE': 14, 'METOLAZONE': 12, 'LANSOPRAZOLE': 17}","{'settlement_type': 'non-urban', 'generic_rx_count': 295, 'specialty': 'Gastroenterology', 'years_practicing': 8, 'gender': 'M', 'region': 'Midwest', 'brand_name_rx_count': 121}",1518951466
"{'ZOLPIDEM TARTRATE': 37, 'HYDROCODONE-ACETAMINOPHEN': 37, 'NEOMYCIN-POLYMYXIN-DEXAMETH': 15, 'BETAMETHASONE DIPROPIONATE': 12, 'PROMETHEGAN': 11, 'POLYETHYLENE GLYCOL 3350': 21, 'ALPRAZOLAM': 36}","{'settlement_type': 'non-urban', 'generic_rx_count': 143, 'specialty': 'Plastic and Reconstructive Surgery', 'years_practicing': 7, 'gender': 'M', 'region': 'South', 'brand_name_rx_count': 26}",1033270251
"{'CLONAZEPAM': 256, 'TRIHEXYPHENIDYL HCL': 21, 'DIAZEPAM': 56, 'LATUDA': 12, 'ESCITALOPRAM OXALATE': 142, 'FLUPHENAZINE HCL': 31, 'ZIPRASIDONE HCL': 54, 'DEXTROAMPHETAMINE SULFATE': 15, 'BUSPIRONE HCL': 24, 'CLOZAPINE': 26, 'QUETIAPINE FUMARATE': 274, 'OLANZAPINE': 67, 'BUPROPION HCL SR': 33, 'VIIBRYD': 74, 'DONEPEZIL HCL': 24, 'NORTRIPTYLINE HCL': 11, 'LITHIUM CARBONATE': 73, 'ABILIFY': 110, 'FLUVOXAMINE MALEATE': 24, 'HYDROXYZINE PAMOATE': 47, 'FLUOXETINE HCL': 150, 'RISPERIDONE ODT': 12, 'SEROQUEL XR': 53, 'PAROXETINE HCL': 45, 'AMPHETAMINE SALT COMBO': 95, 'MIRTAZAPINE': 173, 'METHYLPHENIDATE HCL': 73, 'THIOTHIXENE': 11, 'CYMBALTA': 205, 'RISPERDAL CONSTA': 54, 'PRISTIQ ER': 39, 'BENZTROPINE MESYLATE': 155, 'CITALOPRAM HBR': 42, 'TRAZODONE HCL': 156, 'ZOLPIDEM TARTRATE': 116, 'DIVALPROEX SODIUM ER': 42, 'DOXEPIN HCL': 13, 'SEROQUEL': 15, 'LORAZEPAM': 151, 'RISPERIDONE': 296, 'BUPROPION HCL': 12, 'SERTRALINE HCL': 147, 'BUPROPION XL': 198, 'HALOPERIDOL': 12, 'VENLAFAXINE HCL ER': 92, 'VENLAFAXINE HCL': 39, 'HYDROXYZINE HCL': 18, 'ALPRAZOLAM': 92, 'STRATTERA': 12, 'LAMOTRIGINE': 178, 'INVEGA SUSTENNA': 14, 'METHYLPHENIDATE ER': 13, 'TOPIRAMATE': 48}","{'settlement_type': 'urban', 'generic_rx_count': 3462, 'specialty': 'Psychiatry', 'years_practicing': 7, 'gender': 'M', 'region': 'Midwest', 'brand_name_rx_count': 683}",1215979554
"{'OMEPRAZOLE': 11, 'TARGRETIN': 11, 'LEVOTHYROXINE SODIUM': 29, 'OXYCODONE HCL': 13, 'PREDNISONE': 37}","{'settlement_type': 'non-urban', 'generic_rx_count': 90, 'specialty': 'Hematology & Oncology', 'years_practicing': 5, 'gender': 'F', 'region': 'Northeast', 'brand_name_rx_count': 11}",1881850626
"{'LEVOFLOXACIN': 12, 'OMEPRAZOLE': 35, 'REVLIMID': 25, 'DEXAMETHASONE': 51, 'LORAZEPAM': 12, 'PROCHLORPERAZINE MALEATE': 22, 'GABAPENTIN': 26, 'HYDROCODONE-ACETAMINOPHEN': 21, 'METOCLOPRAMIDE HCL': 15, 'HYDROMORPHONE HCL': 12, 'ACYCLOVIR': 130, 'METOPROLOL TARTRATE': 14, 'ZOLPIDEM TARTRATE': 15, 'ONDANSETRON HCL': 14}","{'settlement_type': 'non-urban', 'generic_rx_count': 379, 'specialty': 'Hematology', 'years_practicing': 7, 'gender': 'F', 'region': 'Midwest', 'brand_name_rx_count': 25}",1013940501
"{'DESIPRAMINE HCL': 26, 'RISPERIDONE': 108, 'CLONAZEPAM': 120, 'PERPHENAZINE': 39, 'DIAZEPAM': 40, 'GABAPENTIN': 25, 'ESCITALOPRAM OXALATE': 26, 'FLUPHENAZINE HCL': 11, 'FLUOXETINE HCL': 81, 'ZIPRASIDONE HCL': 18, 'CLOMIPRAMINE HCL': 15, 'DIVALPROEX SODIUM': 34, 'CLOZAPINE': 58, 'QUETIAPINE FUMARATE': 70, 'OLANZAPINE': 42, 'BUPROPION HCL SR': 108, 'CLORAZEPATE DIPOTASSIUM': 12, 'VIIBRYD': 23, 'TRIAZOLAM': 15, 'NORTRIPTYLINE HCL': 17, 'LITHIUM CARBONATE': 26, 'ABILIFY': 15, 'FLUVOXAMINE MALEATE': 15, 'BUSPIRONE HCL': 25, 'AMPHETAMINE SALT COMBO': 24, 'CARBAMAZEPINE XR': 16, 'PAROXETINE HCL': 53, 'DEXTROAMPHETAMINE-AMPHETAMINE': 22, 'MIRTAZAPINE': 155, 'METHYLPHENIDATE HCL': 53, 'THIOTHIXENE': 12, 'CYMBALTA': 68, 'PRISTIQ ER': 13, 'AMOXAPINE': 19, 'BENZTROPINE MESYLATE': 38, 'CITALOPRAM HBR': 28, 'TRAZODONE HCL': 149, 'ZOLPIDEM TARTRATE': 92, 'DIVALPROEX SODIUM ER': 31, 'TEMAZEPAM': 47, 'MAPROTILINE HCL': 26, 'NEFAZODONE HCL': 12, 'LORAZEPAM': 167, 'OXCARBAZEPINE': 12, 'DONEPEZIL HCL': 18, 'SERTRALINE HCL': 154, 'HALOPERIDOL': 16, 'VENLAFAXINE HCL ER': 63, 'PROPRANOLOL HCL': 23, 'ALPRAZOLAM': 61, 'LAMOTRIGINE': 36, 'METHYLPHENIDATE ER': 30, 'FLURAZEPAM HCL': 22, 'TOPIRAMATE': 14}","{'settlement_type': 'urban', 'generic_rx_count': 2300, 'specialty': 'Psychiatry', 'years_practicing': 7, 'gender': 'M', 'region': 'Northeast', 'brand_name_rx_count': 143}",1174564165
"{'CLONAZEPAM': 11, 'ENALAPRIL MALEATE': 25, 'SOTALOL AF': 21, 'KLOR-CON M20': 16, 'NAPROXEN': 15, 'ATORVASTATIN CALCIUM': 188, 'HYDROCHLOROTHIAZIDE': 16, 'LOSARTAN-HYDROCHLOROTHIAZIDE': 32, 'MINOXIDIL': 26, 'CITALOPRAM HBR': 12, 'OMEPRAZOLE': 29, 'METOPROLOL TARTRATE': 24, 'AMLODIPINE BESYLATE': 112, 'CARVEDILOL': 248, 'LOSARTAN POTASSIUM': 168, 'DILTIAZEM HCL': 12, 'LABETALOL HCL': 38, 'ZETIA': 23, 'NIFEDIPINE ER': 48, 'RAMIPRIL': 29, 'LEVOTHYROXINE SODIUM': 11, 'TRIAMTERENE-HCTZ': 29, 'FUROSEMIDE': 164, 'CLONIDINE HCL': 147, 'SPIRONOLACTONE': 108, 'NITROSTAT': 14, 'LISINOPRIL': 192, 'PANTOPRAZOLE SODIUM': 12, 'WARFARIN SODIUM': 163, 'POTASSIUM CHLORIDE': 33, 'XARELTO': 22, 'ZOLPIDEM TARTRATE': 14, 'PRADAXA': 15, 'TRIAMTERENE-HYDROCHLOROTHIAZID': 28, 'LISINOPRIL-HYDROCHLOROTHIAZIDE': 12, 'CRESTOR': 91, 'AMLODIPINE BESYLATE-BENAZEPRIL': 19, 'METOPROLOL SUCCINATE': 114, 'GUANFACINE HCL': 36, 'ISOSORBIDE MONONITRATE ER': 11, 'ALLOPURINOL': 19, 'AMIODARONE HCL': 82, 'SOTALOL': 28, 'VYTORIN': 59, 'GABAPENTIN': 12, 'DIGOX': 141, 'SIMVASTATIN': 200, 'CLOPIDOGREL': 123, 'DIGOXIN': 30}","{'settlement_type': 'non-urban', 'generic_rx_count': 2641, 'specialty': 'Cardiovascular Disease', 'years_practicing': 8, 'gender': 'M', 'region': 'South', 'brand_name_rx_count': 381}",1275533044
{'DIOVAN': 12},"{'settlement_type': 'urban', 'generic_rx_count': 0, 'specialty': 'Family', 'years_practicing': 1, 'gender': 'F', 'region': 'South', 'brand_name_rx_count': 12}",1104197441
"{'HYDROXYZINE PAMOATE': 35, 'RISPERIDONE': 131, 'CLONAZEPAM': 127, 'SEROQUEL XR': 31, 'DIAZEPAM': 30, 'PAROXETINE HCL': 39, 'AMPHETAMINE SALT COMBO': 13, 'MIRTAZAPINE': 56, 'METHYLPHENIDATE HCL': 17, 'ESCITALOPRAM OXALATE': 85, 'CYMBALTA': 92, 'FLUOXETINE HCL': 84, 'RISPERDAL CONSTA': 16, 'ZIPRASIDONE HCL': 47, 'BENZTROPINE MESYLATE': 128, 'CITALOPRAM HBR': 80, 'TRAZODONE HCL': 127, 'ZOLPIDEM TARTRATE': 57, 'DIVALPROEX SODIUM ER': 57, 'GABAPENTIN': 38, 'BUSPIRONE HCL': 65, 'LORAZEPAM': 19, 'AMITRIPTYLINE HCL': 16, 'QUETIAPINE FUMARATE': 95, 'OLANZAPINE': 36, 'BUPROPION HCL SR': 20, 'FLUPHENAZINE HCL': 13, 'SERTRALINE HCL': 33, 'BUPROPION XL': 31, 'HALOPERIDOL': 23, 'VENLAFAXINE HCL ER': 26, 'ALPRAZOLAM': 39, 'LITHIUM CARBONATE': 33, 'LAMOTRIGINE': 112, 'ABILIFY': 42, 'LATUDA': 27}","{'settlement_type': 'urban', 'generic_rx_count': 1699, 'specialty': 'Psych/Mental Health', 'years_practicing': 6, 'gender': 'M', 'region': 'South', 'brand_name_rx_count': 221}",1912043050
"{'PROVENTIL HFA': 20, 'ADVAIR DISKUS': 120, 'VENTOLIN HFA': 24, 'FLOVENT HFA': 11, 'NEXIUM': 14, 'LEVEMIR FLEXPEN': 13, 'DALIRESP': 42, 'QVAR': 18, 'PRAMIPEXOLE DIHYDROCHLORIDE': 14, 'LANTUS SOLOSTAR': 24, 'COMBIVENT RESPIMAT': 52, 'HUMALOG': 23, 'NASONEX': 32, 'NOVOLOG FLEXPEN': 23, 'ROPINIROLE HCL': 17, 'ALPRAZOLAM': 23, 'METFORMIN HCL': 32, 'BD ULTRA-FINE PEN NEEDLE': 26, 'ZOLPIDEM TARTRATE': 32, 'PROAIR HFA': 119, 'CLONAZEPAM': 11, 'JANUVIA': 12, 'FORADIL': 13, 'DIOVAN': 13, 'TRAZODONE HCL': 17, 'DULERA': 46, 'TUDORZA PRESSAIR': 26, 'ASMANEX': 13, 'SPIRIVA': 230, 'PREDNISONE': 126, 'GABAPENTIN': 17, 'TRADJENTA': 18, 'SIMVASTATIN': 14, 'DYMISTA': 12, 'LEVOTHYROXINE SODIUM': 30, 'SYNTHROID': 17, 'FUROSEMIDE': 11, 'AZITHROMYCIN': 32, 'SYMBICORT': 202, 'FLUTICASONE PROPIONATE': 128, 'COMBIVENT': 39, 'MONTELUKAST SODIUM': 50}","{'settlement_type': 'urban', 'generic_rx_count': 554, 'specialty': 'Family', 'years_practicing': 3, 'gender': 'F', 'region': 'South', 'brand_name_rx_count': 1202}",1992021687
"{'FLUOXETINE HCL': 13, 'BUPROPION HCL SR': 14, 'METHADONE HCL': 12, 'CLONAZEPAM': 16, 'RISPERIDONE': 18, 'METHYLPHENIDATE ER': 18, 'FENTANYL': 13, 'SERTRALINE HCL': 11, 'BUPROPION XL': 29, 'VALIUM': 11, 'PRISTIQ ER': 17, 'OXYCODONE-ACETAMINOPHEN': 12, 'INDERAL LA': 12, 'CITALOPRAM HBR': 12, 'TRAZODONE HCL': 20, 'LAMOTRIGINE': 21, 'ALPRAZOLAM': 18}","{'settlement_type': 'urban', 'generic_rx_count': 227, 'specialty': 'Psychiatry', 'years_practicing': 7, 'gender': 'F', 'region': 'West', 'brand_name_rx_count': 40}",1487613469
